# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/27 20:00:00.000000000
# End Time   : 2017/01/29 13:00:00.000000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyCurrMon/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_TPCDrift_HV01_keithleyCurrMon/calcCurrent
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_TPCDrift_HV01_keithleyCurrMon/getVoltage Value	uB_TPCDrift_HV01_keithleyCurrMon/calcCurrent Value
2017/01/28 05:45:48.000000000	-214.7849	0.0060	6.1790
2017/01/28 05:48:52.000000000	-214.7558	0.0060	6.2805
2017/01/28 05:51:56.000000000	-214.7663	0.0060	6.0578
2017/01/28 05:55:00.000000000	-215.8230	0.0060	6.0144
2017/01/28 05:58:04.000000000	-215.2981	0.0060	5.8884
2017/01/28 06:01:08.000000000	-214.0141	0.0060	6.0013
2017/01/28 06:04:12.000000000	-214.4569	0.0059	5.5673
2017/01/28 06:07:16.000000000	-214.7554	0.0061	6.2844
2017/01/28 06:10:20.000000000	-214.8211	0.0060	5.8945
2017/01/28 06:13:24.000000000	-214.8120	0.0059	5.8313
2017/01/28 06:16:28.000000000	-214.7451	0.0060	6.1457
2017/01/28 06:19:32.000000000	-214.7543	0.0060	6.0596
2017/01/28 06:22:36.000000000	-214.7287	0.0060	6.2182
2017/01/28 06:25:40.000000000	-214.5592	0.0060	6.2128
2017/01/28 06:28:44.000000000	-214.4935	0.0060	6.2607
2017/01/28 06:31:48.000000000	-214.5520	0.0060	6.0083
2017/01/28 06:34:52.000000000	-214.6116	0.0060	5.9103
2017/01/28 06:37:56.000000000	-214.7183	0.0060	6.0209
2017/01/28 06:41:00.000000000	-216.5263	0.0060	6.1034
