# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/01/28 10:30:22.406000000
# End Time   : 2017/01/29 15:15:41.078000000
# Source     : Plot
# Format     : Decimal (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_TPCDrift_HV01_keithleyPickOff/getVoltage
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_1_1_0/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_TPCDrift_HV01_keithleyPickOff/getVoltage Value	uB_OnDetPower_TPCPS_1_1_0/CURR_READ Value
2017/01/28 15:17:20.000000000	-212.6797	2.5040
2017/01/28 15:19:29.000000000	-212.5224	2.6111
2017/01/28 15:21:38.000000000	-212.9890	2.5938
2017/01/28 15:23:47.000000000	-212.7979	2.5914
2017/01/28 15:25:56.000000000	-213.0363	2.5795
2017/01/28 15:28:05.000000000	-213.2027	2.5893
2017/01/28 15:30:14.000000000	-212.9435	2.5874
2017/01/28 15:32:23.000000000	-216.4537	2.5874
2017/01/28 15:34:32.000000000	-216.4736	2.5874
2017/01/28 15:36:41.000000000	-216.4632	2.5978
2017/01/28 15:38:50.000000000	-216.4465	2.5967
2017/01/28 15:40:59.000000000	-216.4290	2.5969
2017/01/28 15:43:08.000000000	-216.4668	2.5969
2017/01/28 15:45:17.000000000	-215.3692	2.5972
2017/01/28 15:47:26.000000000	-212.9641	2.5967
2017/01/28 15:49:35.000000000	-213.1354	2.5923
2017/01/28 15:51:44.000000000	-212.8327	2.5919
2017/01/28 15:53:53.000000000	-213.4247	2.6046
2017/01/28 15:56:02.000000000	-213.4004	2.6083
2017/01/28 15:58:11.000000000	-213.2579	2.6085
2017/01/28 16:00:20.000000000	-213.3485	2.6126
2017/01/28 16:02:29.000000000	-214.2817	2.6135
2017/01/28 16:04:38.000000000	-212.7552	2.6143
2017/01/28 16:06:47.000000000	-213.5216	2.6145
2017/01/28 16:08:56.000000000	-214.3549	2.6045
2017/01/28 16:11:05.000000000	-216.5199	2.6015
2017/01/28 16:13:14.000000000	-216.5299	2.6015
2017/01/28 16:15:23.000000000	-216.5224	2.6015
2017/01/28 16:17:32.000000000	-216.5262	2.6015
2017/01/28 16:19:41.000000000	-216.5258	2.6015
2017/01/28 16:21:50.000000000	-216.5209	2.6015
2017/01/28 16:23:59.000000000	-216.5281	2.6015
2017/01/28 16:26:08.000000000	-216.5296	2.6015
2017/01/28 16:28:17.000000000	-216.5301	2.6015
2017/01/28 16:30:26.000000000	-216.5311	2.6015
2017/01/28 16:32:35.000000000	-216.5296	2.6015
2017/01/28 16:34:44.000000000	-216.5048	2.0556
2017/01/28 16:36:53.000000000	-216.6105	2.4877
2017/01/28 16:39:02.000000000	-216.5185	2.4877
2017/01/28 16:39:34.895518107	-216.5185	2.4912
2017/01/28 16:41:11.000000000	-216.5195	2.4956
2017/01/28 16:43:20.000000000	-216.5214	2.4950
2017/01/28 16:45:29.000000000	-216.5206	2.4964
2017/01/28 16:47:38.000000000	-216.5171	2.4964
2017/01/28 16:49:47.000000000	-216.5209	2.4966
2017/01/28 16:51:56.000000000	-216.5178	2.4963
2017/01/28 16:54:05.000000000	-216.5172	2.4963
2017/01/28 16:56:14.000000000	-216.5105	2.4963
2017/01/28 16:58:23.000000000	-216.5135	2.4966
2017/01/28 17:00:32.000000000	-216.5199	2.4966
2017/01/28 17:02:41.000000000	-216.5221	2.4966
2017/01/28 17:04:50.000000000	-216.5236	2.4962
2017/01/28 17:06:59.000000000	-216.5211	2.4958
2017/01/28 17:09:08.000000000	-216.5201	2.4956
2017/01/28 17:11:17.000000000	-216.5210	2.4958
2017/01/28 17:13:26.000000000	-216.5151	2.4963
