# Created by CSS Data Browser Version 3.2.17.201410011619
# 
# Start Time : 2017/02/10 10:42:52.679545364
# End Time   : 2017/02/10 11:12:52.679552963
# Source     : Plot
# Format     : Exponential (4 digits)
# 
# Data is in TAB-delimited columns, should import into e.g. Excel

# Channel: uB_OnDetPower_TPCPS_2_7_604/CURR_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 
# Channel: uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ
# Archives:
# 1) RDB2
#    URL: jdbc:postgresql://smc-priv/slowmoncon_archive
#    Key: 2
# 2) RDB
#    URL: jdbc:postgresql://near2-priv/slowmoncon_archive
#    Key: 1
# 

Time	uB_OnDetPower_TPCPS_2_7_604/CURR_READ Value	Negative Error	Positive Error	Severity	Status	uB_OnDetPower_TPCPS_2_7_604/SenseVOLT_READ Value	Negative Error	Positive Error	Severity	Status
2017/02/10 10:48:20.336845235	6.6734E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:21.137597332	6.3344E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:21.938028862	6.2883E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:23.939069787	6.4401E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:24.539323567	6.4756E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:25.339818429	6.5364E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:26.140113259	6.6006E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:27.140590451	6.5900E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:27.941313820	6.4157E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:28.941681945	6.1295E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:29.742192901	6.9545E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:30.542522542	7.0549E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:31.343118572	7.3542E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:32.143370722	7.3943E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:32.943912472	-5.9447E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:33.944452132	2.0758E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:34.744875918	2.8289E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:35.545283088	3.5265E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:36.545549319	4.1513E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:38.946863261	5.5731E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:39.947533677	5.8101E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:40.747682847	5.8129E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:41.748412030	5.9793E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:42.548698959	6.3444E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:43.349223188	6.3180E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:44.149532895	6.3847E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:45.150074556	4.2245E-9	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:45.950567075	1.3413E-9	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:48.552128768	9.8072E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:49.552272457	9.0160E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:50.352566217	8.3807E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
2017/02/10 10:48:51.153247310	7.9783E-10	0	0	NONE	NO_ALARM	-6.6705E-2	0	0	NONE	NO_ALARM
